State,Rating
Alabama,3
Alaska,2
Arizona,3.5
Arkansas,4
California,4
Colorado,2.5
Connecticut,3
Delaware,3.5
District of Columbia,3
Florida,3
Georgia,3.5
Hawaii,2
Idaho,3.5
Illinois,2.5
Indiana,3
Iowa,3
Kansas,2
Kentucky,3
Louisiana,4
Maine,2
Maryland,4
Massachusetts,5
Michigan,2.5
Minnesota,3
Mississippi,3.5
Missouri,3
Montana,2.5
Nebraska,3.5
Nevada,3
New Hampshire,2.5
New Jersey,3
New Mexico,4.5
New York,1.5
North Carolina,3
North Dakota,2
Ohio,4
Oklahoma,4
Oregon,4.5
Pennsylvania,2.5
Rhode Island,4.5
South Carolina,4
South Dakota,2.5
Tennessee,3
Texas,5
Utah,3
Vermont,2.5
Virginia,3
Washington,4
West Virginia,3.5
Wisconsin,2
Wyoming,2.5
